Date,Open,High,Low,Close,Volume
11-Jul-14,626.25,627.75,624.95,625.68,51
10-Jul-14,625.48,627.70,625.00,627.70,20
9-Jul-14,-,-,-,628.23,0
8-Jul-14,627.30,628.23,627.30,628.23,10
7-Jul-14,630.37,632.00,630.26,632.00,16
4-Jul-14,629.54,632.00,629.54,632.00,40
3-Jul-14,632.68,633.74,629.54,633.74,10
2-Jul-14,630.00,639.29,628.22,639.29,51
1-Jul-14,620.35,626.00,620.35,626.00,21
30-Jun-14,618.86,626.50,618.86,625.00,31
27-Jun-14,624.50,624.50,623.46,623.50,21
26-Jun-14,625.67,627.45,624.00,627.45,11
25-Jun-14,-,-,-,628.50,0
24-Jun-14,623.32,631.50,623.32,628.50,69
23-Jun-14,622.44,628.00,620.97,628.00,22
20-Jun-14,622.27,627.00,620.69,626.91,7
19-Jun-14,622.79,625.60,622.20,623.64,48
18-Jun-14,619.29,626.56,619.29,625.80,36
17-Jun-14,624.00,624.10,617.00,617.00,34
16-Jun-14,626.54,631.00,624.00,624.50,22
13-Jun-14,628.62,628.62,626.54,627.70,10
12-Jun-14,627.40,628.59,627.40,628.59,10
11-Jun-14,625.48,631.00,625.48,631.00,16
10-Jun-14,625.67,632.81,625.48,625.69,98
9-Jun-14,-,-,-,630.00,0
6-Jun-14,621.50,630.00,621.00,630.00,63
5-Jun-14,628.00,629.00,623.33,629.00,9
4-Jun-14,625.40,628.40,623.72,628.40,9
3-Jun-14,625.29,629.25,624.67,625.21,24
2-Jun-14,624.42,628.93,624.42,625.00,75
30-May-14,625.02,625.10,624.08,624.08,15
29-May-14,624.10,627.50,624.10,627.50,3
28-May-14,627.69,628.40,623.00,623.00,55
27-May-14,624.81,629.21,624.81,628.81,50
26-May-14,614.10,629.50,614.10,629.50,20
23-May-14,619.62,624.00,615.01,621.88,5
22-May-14,628.16,628.40,619.62,622.97,16
21-May-14,625.31,628.50,624.74,628.50,7
20-May-14,624.34,630.00,624.11,630.00,20
19-May-14,625.88,630.17,624.34,630.17,4
16-May-14,629.52,629.52,625.88,626.34,46
15-May-14,633.50,633.50,628.78,632.70,2
14-May-14,623.28,632.29,618.64,630.34,76
13-May-14,632.26,632.26,627.54,627.95,92
12-May-14,628.00,637.00,623.32,637.00,35
9-May-14,629.72,631.71,626.58,626.58,17
8-May-14,-,-,-,629.25,0
7-May-14,626.81,629.25,626.20,629.25,10
6-May-14,626.37,630.12,626.37,630.01,61
5-May-14,627.00,627.00,625.00,625.83,7
