Date,Open,High,Low,Close,Volume
11-Jul-14,91.87,92.77,91.50,92.07,1066279
10-Jul-14,92.70,92.70,90.50,91.42,1468986
9-Jul-14,92.97,93.27,92.10,92.72,915621
8-Jul-14,94.30,94.41,92.70,92.70,1082984
7-Jul-14,94.85,95.30,93.91,93.91,925948
4-Jul-14,95.50,95.89,94.94,95.15,851498
3-Jul-14,94.18,95.32,93.49,95.32,1194046
2-Jul-14,93.30,94.73,93.23,93.88,1085690
1-Jul-14,92.86,93.33,92.10,93.30,1007073
30-Jun-14,92.50,93.32,92.35,92.62,1105942
27-Jun-14,92.81,92.87,91.92,92.36,911405
26-Jun-14,93.50,93.52,91.32,92.48,1067451
25-Jun-14,93.45,93.79,92.38,93.09,1280630
24-Jun-14,92.99,94.21,92.85,94.10,1688145
23-Jun-14,92.53,92.55,91.20,91.50,824017
20-Jun-14,92.65,93.48,92.47,92.56,2696673
19-Jun-14,92.50,92.86,92.04,92.67,1357245
18-Jun-14,91.10,92.13,90.39,91.41,1753546
17-Jun-14,91.45,91.95,90.47,90.75,1030298
16-Jun-14,90.34,91.14,90.26,90.93,858916
13-Jun-14,91.40,91.54,90.02,90.76,1287758
12-Jun-14,91.58,91.97,90.99,91.36,993840
11-Jun-14,92.25,92.40,91.30,91.74,901745
10-Jun-14,92.58,92.60,91.55,92.02,1179158
9-Jun-14,93.35,93.35,92.11,92.58,647395
6-Jun-14,93.00,93.27,92.57,92.88,1102585
5-Jun-14,91.39,92.84,90.95,92.76,1824330
4-Jun-14,92.10,92.13,90.28,91.27,1284077
3-Jun-14,91.69,92.02,91.05,92.02,1019484
2-Jun-14,91.75,92.49,90.79,91.48,1087656
30-May-14,92.00,92.27,91.68,92.09,878996
29-May-14,91.38,92.13,91.25,92.13,728236
28-May-14,91.93,92.00,90.78,91.36,1036264
27-May-14,91.20,91.80,90.86,91.77,1197488
26-May-14,90.50,91.50,90.34,91.27,938777
23-May-14,89.55,90.00,89.21,89.88,1029319
22-May-14,88.90,89.65,88.65,89.34,1134750
21-May-14,87.82,88.75,87.47,88.70,1178464
20-May-14,88.35,88.97,87.75,88.00,1068609
19-May-14,86.46,88.54,86.13,88.18,1613657
16-May-14,85.57,86.98,85.55,86.43,2413624
15-May-14,89.70,90.30,87.85,88.11,2526006
14-May-14,89.79,89.81,88.89,89.25,1295058
13-May-14,89.68,89.69,88.98,89.45,1701553
12-May-14,88.66,88.79,87.84,88.70,1627317
9-May-14,88.08,88.38,87.69,88.12,1190803
8-May-14,88.43,88.91,87.29,88.30,2225996
7-May-14,88.00,89.03,87.51,88.19,1650361
6-May-14,89.56,90.10,87.81,88.44,1754563
5-May-14,89.24,89.24,87.03,88.75,1402990
2-May-14,90.72,90.72,88.74,89.03,1167197
30-Apr-14,90.10,90.50,89.29,90.18,1164847
29-Apr-14,90.43,91.17,89.43,90.34,1196538
28-Apr-14,89.88,90.27,89.21,89.84,903623
25-Apr-14,90.84,91.05,89.11,89.56,1386902
24-Apr-14,93.21,93.35,89.80,91.46,1937576
23-Apr-14,94.21,94.39,92.44,92.68,1079207
22-Apr-14,92.77,94.02,92.44,94.02,1264123
17-Apr-14,90.90,92.15,90.22,92.12,1470764
16-Apr-14,89.06,90.41,88.89,90.41,1480554
15-Apr-14,90.18,90.57,88.01,88.19,1386384
14-Apr-14,89.12,90.52,89.12,90.14,1178870
11-Apr-14,89.60,90.63,89.05,90.21,1779345
10-Apr-14,91.61,92.10,90.17,90.51,1295717
9-Apr-14,91.00,91.95,90.81,91.29,1369298
8-Apr-14,92.27,92.50,90.44,91.42,1620318
7-Apr-14,92.52,92.80,91.76,91.83,1308552
4-Apr-14,93.04,94.23,92.53,93.85,991988
3-Apr-14,92.86,93.90,92.39,93.04,1419855
2-Apr-14,92.92,93.55,92.27,92.65,1574234
1-Apr-14,92.45,92.60,91.69,92.09,1633795
31-Mar-14,92.60,92.91,90.92,91.62,1587633
28-Mar-14,91.35,92.67,91.30,92.23,1592012
27-Mar-14,90.80,91.28,90.03,91.28,1504631
26-Mar-14,89.85,91.24,89.52,90.60,1849624
25-Mar-14,89.00,89.97,87.36,89.45,2225501
24-Mar-14,89.50,90.05,88.01,88.06,2127834
21-Mar-14,87.29,88.92,86.99,88.40,4090403
20-Mar-14,86.05,88.18,85.80,87.30,3438493
19-Mar-14,80.99,87.16,80.30,86.60,7355055
18-Mar-14,80.31,81.61,79.51,80.72,2035754
17-Mar-14,79.14,80.36,78.34,80.08,1557329
14-Mar-14,79.04,79.61,77.58,79.26,3007090
13-Mar-14,80.56,82.88,79.66,80.12,2966473
12-Mar-14,80.75,80.84,79.17,80.24,1525505
11-Mar-14,80.81,81.77,80.69,81.21,1194555
10-Mar-14,81.51,82.25,79.83,80.52,1579605
7-Mar-14,83.31,83.62,81.71,81.86,1807393
6-Mar-14,83.02,83.74,82.65,83.08,1470678
5-Mar-14,82.68,83.22,82.25,82.48,1496291
4-Mar-14,82.50,83.22,81.74,82.78,1937088
3-Mar-14,82.22,83.08,81.54,81.65,2223672
28-Feb-14,83.91,84.21,83.19,84.20,1542605
27-Feb-14,84.41,84.89,82.69,83.80,1626959
26-Feb-14,84.16,84.51,83.74,84.31,1466019
25-Feb-14,84.77,84.85,83.58,83.95,1569552
24-Feb-14,84.57,85.71,83.84,84.59,2029107
21-Feb-14,84.92,85.39,84.15,85.22,1236708
20-Feb-14,83.81,84.67,83.24,84.43,1671609
19-Feb-14,84.66,85.36,83.92,85.00,1202057
18-Feb-14,85.00,85.15,83.49,84.62,1702177
17-Feb-14,85.96,85.96,84.69,84.93,1193335
14-Feb-14,85.48,86.36,85.25,86.00,1495632
13-Feb-14,84.87,85.54,83.86,85.36,1323715
12-Feb-14,84.77,85.67,84.52,84.97,1564127
