Date,Open,High,Low,Close,Volume
11-Jul-14,581.00,588.23,580.58,586.65,1514265
10-Jul-14,573.00,585.25,572.10,580.04,1436326
9-Jul-14,578.95,584.10,577.00,583.36,1373056
8-Jul-14,586.36,587.97,574.00,578.40,2129924
7-Jul-14,593.51,595.64,587.94,590.76,1337088
3-Jul-14,591.70,594.25,589.00,593.08,898852
2-Jul-14,592.26,594.15,589.11,590.78,1197005
1-Jul-14,587.65,593.66,586.29,591.49,1644628
30-Jun-14,586.76,587.71,583.29,584.67,1479411
27-Jun-14,585.45,587.88,582.62,585.69,2022118
26-Jun-14,589.30,589.60,579.60,584.77,2012360
25-Jun-14,573.55,587.30,573.26,585.93,2114743
24-Jun-14,574.22,582.25,569.16,572.54,2844325
23-Jun-14,564.35,574.44,563.50,574.29,1724098
20-Jun-14,566.45,566.77,559.37,566.52,3162147
19-Jun-14,561.15,565.00,556.67,564.99,2630539
18-Jun-14,552.80,561.40,551.58,560.66,2060681
17-Jun-14,552.36,553.74,547.47,550.62,1481669
16-Jun-14,557.25,557.99,550.00,552.30,1971842
13-Jun-14,560.08,560.65,553.72,560.35,1353343
12-Jun-14,567.00,567.00,557.15,559.50,1549487
11-Jun-14,565.92,568.97,563.68,567.50,1129173
10-Jun-14,568.78,572.00,566.13,568.30,1485115
9-Jun-14,566.75,572.00,565.22,570.73,1529959
6-Jun-14,568.16,568.80,559.58,566.03,1740934
5-Jun-14,557.11,565.00,555.05,564.93,1796370
4-Jun-14,551.52,558.58,548.56,553.76,1729192
3-Jun-14,560.90,562.40,552.53,554.51,2031647
2-Jun-14,569.75,570.41,556.70,564.34,1663640
30-May-14,571.64,572.58,565.79,571.65,1871737
29-May-14,573.39,573.48,568.45,570.56,1411296
28-May-14,574.57,577.66,569.95,570.45,1581576
27-May-14,567.78,574.87,564.15,574.87,2191828
23-May-14,558.13,565.00,554.17,563.80,2672674
22-May-14,552.20,557.96,551.00,555.45,2149757
21-May-14,542.90,549.75,542.11,549.70,1564854
20-May-14,540.00,546.35,536.57,540.39,2425292
19-May-14,528.88,539.35,525.66,538.83,1977885
16-May-14,529.60,530.84,523.57,528.30,1907733
15-May-14,533.14,534.00,525.31,529.12,1833044
14-May-14,541.82,541.82,533.11,534.41,1281148
13-May-14,539.58,543.99,537.90,541.54,2011963
12-May-14,531.84,538.75,527.51,538.43,1949291
9-May-14,518.65,527.35,514.28,526.62,2261447
8-May-14,515.72,527.35,514.46,520.17,2452197
7-May-14,523.25,524.43,511.09,518.00,3074346
6-May-14,533.41,534.55,522.26,522.57,1835318
5-May-14,530.24,535.72,527.58,535.33,1228797
2-May-14,541.44,542.40,533.27,533.87,1781595
1-May-14,534.25,539.91,532.86,538.53,2004375
30-Apr-14,535.12,536.34,529.09,534.88,2038658
29-Apr-14,523.89,537.76,523.00,536.33,2535967
28-Apr-14,525.80,525.90,511.00,522.98,3752779
25-Apr-14,532.26,533.86,522.50,523.10,2372604
24-Apr-14,541.69,542.50,531.00,534.44,2069559
23-Apr-14,543.67,544.80,528.13,537.51,1959330
22-Apr-14,536.00,548.00,536.00,545.50,2331121
21-Apr-14,544.00,544.00,534.00,539.37,2425207
17-Apr-14,556.32,557.00,539.40,543.34,5616862
16-Apr-14,557.70,564.00,553.10,563.90,4588541
15-Apr-14,551.00,552.89,530.64,548.70,3999843
14-Apr-14,543.66,553.02,540.52,545.20,2541398
11-Apr-14,537.94,547.59,533.40,537.76,3175460
10-Apr-14,568.00,568.21,545.50,546.69,3296996
9-Apr-14,565.84,567.80,555.38,567.04,3033589
8-Apr-14,545.05,559.88,544.70,557.51,3488768
7-Apr-14,544.79,549.85,530.53,540.63,3961552
4-Apr-14,578.55,579.72,544.49,545.25,5366972
3-Apr-14,573.39,588.30,566.01,571.50,4019626
2-Apr-14,571.52,572.97,562.56,568.12,2088580
1-Apr-14,560.70,569.32,559.56,568.01,2182626
31-Mar-14,565.77,568.07,556.98,557.81,1942277
28-Mar-14,560.06,567.16,559.44,560.64,2258918
27-Mar-14,565.99,566.54,551.60,557.70,3826676
26-Mar-14,581.59,586.37,566.32,566.55,2580023
25-Mar-14,583.58,585.50,574.07,579.94,2413045
24-Mar-14,592.69,593.04,573.55,579.54,3039151
21-Mar-14,603.76,605.42,591.82,592.11,3210656
20-Mar-14,600.58,605.41,598.28,599.18,1684975
19-Mar-14,606.51,606.60,597.80,600.22,1612901
18-Mar-14,597.93,606.37,597.13,606.24,1821606
17-Mar-14,590.21,599.13,589.64,596.65,2166547
14-Mar-14,591.59,596.03,586.85,586.99,2301786
13-Mar-14,604.58,605.86,592.97,595.12,2345640
12-Mar-14,598.80,604.53,592.69,604.25,1966927
11-Mar-14,607.49,607.77,598.92,600.60,1715423
10-Mar-14,608.45,609.43,602.65,606.39,1215443
7-Mar-14,614.01,614.11,606.32,608.00,1515510
6-Mar-14,611.75,613.69,609.91,610.42,1269591
5-Mar-14,608.13,612.15,606.31,609.74,1236190
4-Mar-14,608.11,608.61,605.35,608.06,1471031
3-Mar-14,603.98,604.52,596.67,601.95,2108720
28-Feb-14,610.78,612.71,603.71,608.43,2314596
27-Feb-14,609.80,612.73,609.11,610.22,1260794
26-Feb-14,612.61,615.05,607.49,610.70,1983804
25-Feb-14,608.58,612.86,605.82,610.61,1444180
24-Feb-14,603.28,610.69,603.15,606.86,1675461
21-Feb-14,604.51,605.54,602.02,602.50,1863155
20-Feb-14,602.17,604.05,600.71,602.66,1701894
19-Feb-14,603.25,605.22,599.35,601.77,2105697
18-Feb-14,601.31,607.04,600.60,606.05,2110730
14-Feb-14,598.40,602.80,597.00,602.00,2194330
13-Feb-14,590.97,600.55,590.42,600.55,1836921
12-Feb-14,595.09,595.59,591.28,593.94,1725673
11-Feb-14,590.68,596.53,586.69,595.69,2052813
10-Feb-14,586.49,591.79,585.09,587.05,1945639
7-Feb-14,584.40,589.54,580.86,589.31,2687308
6-Feb-14,576.14,580.66,574.35,580.56,1948254
5-Feb-14,572.26,575.96,564.57,572.17,2400619
4-Feb-14,569.56,578.08,569.07,569.65,2815737
3-Feb-14,590.19,591.45,566.57,567.28,4575602
31-Jan-14,586.26,593.86,576.14,591.08,5569794
30-Jan-14,573.07,576.82,564.19,568.26,5141107
29-Jan-14,560.12,561.44,550.26,554.01,2411641
28-Jan-14,555.72,563.44,555.52,562.07,2217723
27-Jan-14,563.61,563.81,541.68,551.17,4362978
24-Jan-14,576.08,577.35,562.06,562.48,3926347
23-Jan-14,580.58,581.83,577.76,580.63,1951643
22-Jan-14,583.89,584.53,580.01,583.09,1573846
21-Jan-14,581.05,582.58,576.23,582.43,1981099
17-Jan-14,579.00,580.90,572.67,575.84,2766140
16-Jan-14,575.12,579.54,574.57,578.69,1685699
15-Jan-14,577.07,578.08,572.47,574.88,1951012
14-Jan-14,569.54,576.08,564.61,575.27,2484514
13-Jan-14,563.80,574.03,559.14,562.05,2425615
10-Jan-14,570.11,570.11,561.69,565.66,2145560
9-Jan-14,572.29,572.68,563.34,565.69,2085565
8-Jan-14,573.57,574.23,567.21,571.19,2243444
7-Jan-14,563.06,570.41,561.14,570.00,2553999
6-Jan-14,557.06,559.99,553.77,559.22,1770782
3-Jan-14,558.06,559.02,553.02,553.05,1669229
2-Jan-14,558.29,559.43,554.68,557.12,1822719
31-Dec-13,556.68,561.06,553.68,560.92,1358300
30-Dec-13,560.73,560.81,555.06,555.28,1236709
27-Dec-13,560.56,560.70,557.03,559.76,1570140
26-Dec-13,557.56,560.06,554.90,559.29,1338507
24-Dec-13,558.04,558.18,554.60,556.48,734170
23-Dec-13,554.47,558.46,553.11,558.11,1723430
20-Dec-13,545.19,551.14,544.54,550.86,3267417
19-Dec-13,541.27,546.54,540.08,543.65,1666006
18-Dec-13,536.53,543.02,530.05,542.92,2212546
17-Dec-13,537.59,540.92,534.72,535.46,1539917
16-Dec-13,532.04,537.88,531.54,537.03,1606175
13-Dec-13,538.14,538.68,529.47,530.92,2164759
12-Dec-13,540.32,542.01,535.03,535.51,1596498
11-Dec-13,544.24,546.21,538.12,539.18,1711835
10-Dec-13,538.36,546.70,538.36,542.87,1856112
9-Dec-13,535.58,541.70,534.54,539.61,1484103
6-Dec-13,535.43,535.53,530.57,535.47,1431235
5-Dec-13,529.13,530.36,526.07,529.20,1134919
4-Dec-13,526.21,532.52,525.52,529.62,1192139
3-Dec-13,526.00,532.25,525.03,527.16,1678054
2-Dec-13,532.29,533.71,525.91,527.77,1375234
29-Nov-13,531.61,533.84,530.25,530.32,1192773
27-Nov-13,531.55,534.53,530.53,532.09,1123559
26-Nov-13,524.82,531.28,521.99,529.73,2287182
25-Nov-13,519.10,527.12,518.03,523.49,1613009
22-Nov-13,517.23,518.60,515.13,516.46,1254310
21-Nov-13,514.01,519.67,513.51,517.55,1092497
20-Nov-13,515.49,517.20,510.69,511.67,965535
19-Nov-13,516.38,517.89,512.04,513.12,1131619
18-Nov-13,518.39,524.89,515.14,516.29,1760249
15-Nov-13,517.95,519.52,515.67,517.30,1277772
14-Nov-13,517.48,520.39,515.69,518.13,1168469
13-Nov-13,503.88,516.94,503.75,516.75,1584004
12-Nov-13,504.35,509.29,503.00,506.40,1218960
11-Nov-13,505.26,508.47,504.50,505.80,1112778
8-Nov-13,504.88,509.76,504.75,508.52,1294508
7-Nov-13,511.82,512.48,504.32,504.48,1680071
6-Nov-13,513.31,514.01,508.19,511.89,914624
5-Nov-13,510.69,516.34,509.22,511.27,1181488
4-Nov-13,516.27,516.70,511.53,513.57,1139185
1-Nov-13,516.41,518.52,513.06,514.03,1283938
31-Oct-13,514.98,521.28,512.50,515.81,1640035
30-Oct-13,519.23,519.27,513.51,515.73,1327100
29-Oct-13,510.06,518.99,507.26,518.64,1608296
28-Oct-13,508.11,512.23,507.00,508.01,1166400
25-Oct-13,514.92,514.92,505.88,508.11,2030838
24-Oct-13,516.45,520.81,512.91,513.29,2093154
23-Oct-13,501.00,517.89,500.82,516.22,2667586
22-Oct-13,503.00,507.01,498.39,504.00,2211479
21-Oct-13,506.24,510.01,500.27,502.15,3633166
18-Oct-13,488.78,508.24,487.49,506.21,11584258
17-Oct-13,446.94,448.90,443.31,444.84,4256622
16-Oct-13,443.38,449.61,442.45,449.46,2011786
15-Oct-13,438.32,443.26,437.44,441.45,1594777
14-Oct-13,433.76,438.56,433.13,438.49,1243673
11-Oct-13,433.45,437.18,433.08,436.43,1408912
10-Oct-13,432.35,434.85,430.54,434.55,2258931
9-Oct-13,428.57,431.76,421.91,428.36,2653118
8-Oct-13,433.09,433.42,426.24,427.26,1945418
7-Oct-13,434.16,437.43,432.49,433.30,1294017
4-Oct-13,437.94,439.19,435.44,436.61,1358454
3-Oct-13,444.44,447.50,436.49,438.48,2119212
2-Oct-13,441.81,445.12,439.35,444.44,1496334
1-Oct-13,440.56,444.28,440.46,443.95,1685208
30-Sep-13,434.97,440.86,434.59,438.39,1723763
27-Sep-13,437.85,439.20,436.09,438.63,1258822
26-Sep-13,439.59,441.82,437.94,439.52,1260307
25-Sep-13,443.72,443.72,438.24,439.05,1654113
24-Sep-13,443.69,445.50,441.14,443.86,1486783
23-Sep-13,448.52,451.25,443.04,443.69,1778378
20-Sep-13,449.64,452.52,448.26,452.01,4348349
19-Sep-13,453.45,453.45,448.15,449.64,1598201
18-Sep-13,443.62,452.44,441.98,452.11,1937266
17-Sep-13,444.15,444.64,440.94,443.50,1260257
16-Sep-13,448.55,448.95,442.88,444.32,1341311
13-Sep-13,447.70,448.29,442.86,444.98,1326886
12-Sep-13,449.15,449.40,445.45,446.98,1095465
11-Sep-13,444.71,448.93,443.48,448.54,1610146
10-Sep-13,445.46,446.45,442.44,444.78,1287836
9-Sep-13,442.31,445.32,441.65,444.47,1235064
6-Sep-13,441.66,442.33,437.31,440.23,1561755
5-Sep-13,437.19,440.38,436.24,440.22,1292601
4-Sep-13,430.60,437.19,428.01,436.25,2041640
3-Sep-13,427.61,433.53,427.40,430.62,2047736
30-Aug-13,428.31,429.45,423.20,423.87,1861554
29-Aug-13,424.96,430.62,424.72,428.14,1478494
28-Aug-13,425.55,428.13,424.31,424.70,1330324
27-Aug-13,430.24,432.30,424.37,425.50,1734031
26-Aug-13,435.43,437.89,433.46,433.63,1056184
23-Aug-13,439.35,439.44,435.31,435.54,1077093
22-Aug-13,436.79,437.81,435.56,437.29,870491
21-Aug-13,435.76,438.89,433.68,435.10,1761596
20-Aug-13,434.61,436.49,432.20,433.14,1236259
19-Aug-13,429.28,436.44,429.15,433.26,1811425
16-Aug-13,431.07,431.65,428.70,428.88,1675387
15-Aug-13,432.65,432.89,429.43,430.26,1870812
14-Aug-13,439.62,440.56,434.01,435.34,2083229
13-Aug-13,443.86,444.69,438.54,441.07,1420462
12-Aug-13,443.89,443.94,441.27,443.20,1377354
9-Aug-13,445.73,448.21,445.44,445.65,1323761
8-Aug-13,448.19,448.37,443.09,446.78,1488045
7-Aug-13,447.97,449.67,444.99,445.77,1380382
6-Aug-13,452.80,455.31,448.31,448.73,1506475
5-Aug-13,453.15,453.22,450.05,452.95,1309921
2-Aug-13,452.17,453.95,450.86,453.74,1717765
1-Aug-13,447.95,452.73,447.95,452.56,2138314
31-Jul-13,446.94,448.70,443.53,444.32,2173446
30-Jul-13,443.17,448.25,440.88,445.91,1756116
29-Jul-13,442.89,447.86,440.89,441.58,1893042
26-Jul-13,443.94,445.44,441.44,443.12,1778244
25-Jul-13,447.38,448.87,443.48,444.29,3005227
24-Jul-13,454.08,455.61,450.80,451.90,2080778
23-Jul-13,455.81,456.96,450.23,452.35,2046745
22-Jul-13,451.45,456.79,448.95,455.81,2904179
19-Jul-13,443.75,451.93,438.24,448.75,7363398
18-Jul-13,459.95,460.46,452.05,455.80,3634430
17-Jul-13,460.96,463.89,458.61,459.73,1506168
16-Jul-13,464.03,464.45,457.41,460.26,1983527
15-Jul-13,462.61,464.46,458.64,462.81,1961361
