Date,Open,High,Low,Close,Volume
14-Jul-14,31.41,31.58,31.34,31.49,24251533
11-Jul-14,31.26,31.45,31.04,31.25,20053217
10-Jul-14,30.60,31.33,30.44,31.26,32458765
9-Jul-14,30.84,30.98,30.69,30.89,28302427
8-Jul-14,31.00,31.08,30.70,30.79,37614506
7-Jul-14,31.09,31.20,30.92,31.03,22237033
3-Jul-14,31.08,31.36,31.02,31.14,20437633
2-Jul-14,30.99,31.05,30.80,30.98,16831171
1-Jul-14,30.99,31.09,30.87,30.98,28240458
30-Jun-14,30.87,31.00,30.66,30.90,21562544
27-Jun-14,30.87,31.00,30.70,30.93,30776510
26-Jun-14,30.81,30.90,30.61,30.78,26728433
25-Jun-14,30.48,31.00,30.44,30.88,44294569
24-Jun-14,30.16,30.83,30.09,30.50,53398112
23-Jun-14,30.10,30.31,29.85,30.23,26529643
20-Jun-14,30.07,30.20,30.03,30.20,39829862
19-Jun-14,29.97,30.09,29.89,30.09,27166851
18-Jun-14,29.88,29.98,29.67,29.93,34412750
17-Jun-14,29.88,30.10,29.84,29.95,28441218
16-Jun-14,29.72,30.15,29.67,30.01,36407788
13-Jun-14,29.75,30.06,29.56,29.87,122194302
12-Jun-14,27.86,28.10,27.77,27.96,31211438
11-Jun-14,28.14,28.21,27.80,27.93,27749284
10-Jun-14,27.85,28.33,27.72,28.24,34260634
9-Jun-14,28.10,28.42,27.83,27.91,39934314
6-Jun-14,27.78,28.21,27.73,28.17,34795599
5-Jun-14,27.56,27.66,27.43,27.66,26546297
4-Jun-14,27.51,27.76,27.50,27.60,21612727
3-Jun-14,27.22,27.70,27.12,27.66,33257030
2-Jun-14,27.31,27.35,27.12,27.26,20265670
30-May-14,26.94,27.32,26.93,27.32,43641005
29-May-14,26.91,26.96,26.72,26.96,20640029
28-May-14,26.70,26.94,26.66,26.88,27150171
27-May-14,26.33,26.74,26.18,26.71,27271940
23-May-14,26.15,26.30,26.14,26.29,17178021
22-May-14,26.21,26.27,26.08,26.15,15926522
21-May-14,26.10,26.25,26.00,26.20,18721592
20-May-14,26.02,26.17,25.88,26.04,22293213
19-May-14,25.75,26.09,25.75,26.04,22680849
16-May-14,26.05,26.07,25.74,25.82,30017576
15-May-14,26.33,26.50,26.01,26.01,31752745
14-May-14,26.49,26.52,26.33,26.33,17811913
13-May-14,26.49,26.54,26.33,26.45,20524972
12-May-14,26.41,26.54,26.30,26.37,20607769
9-May-14,26.37,26.41,26.22,26.30,20324413
8-May-14,26.32,26.53,26.22,26.34,24168530
7-May-14,26.26,26.45,26.22,26.37,24693262
6-May-14,26.16,26.38,26.00,26.20,21818282
5-May-14,26.16,26.26,25.99,26.17,20738950
2-May-14,26.56,26.64,26.40,26.41,24236459
1-May-14,26.51,26.67,26.39,26.45,19755249
30-Apr-14,26.32,26.70,26.22,26.69,25863926
29-Apr-14,26.36,26.66,26.35,26.48,22146001
28-Apr-14,26.17,26.39,26.01,26.33,33472820
25-Apr-14,26.65,26.72,26.18,26.26,33617211
24-Apr-14,26.81,26.96,26.64,26.75,25432837
23-Apr-14,26.80,26.97,26.72,26.75,25581417
22-Apr-14,26.91,26.98,26.66,26.84,29602313
21-Apr-14,27.05,27.05,26.73,26.95,20399688
17-Apr-14,26.88,27.16,26.79,27.04,38112609
16-Apr-14,26.98,27.24,26.60,26.93,59037351
15-Apr-14,26.51,26.83,26.36,26.77,45074434
14-Apr-14,26.31,26.65,26.14,26.56,26958006
11-Apr-14,26.27,26.59,26.17,26.18,36126904
10-Apr-14,27.01,27.09,26.36,26.42,40478238
9-Apr-14,26.93,27.02,26.73,26.98,34481773
8-Apr-14,26.36,26.98,26.35,26.91,56699485
7-Apr-14,26.30,26.74,26.20,26.48,49813483
4-Apr-14,26.49,26.73,26.10,26.16,47918021
3-Apr-14,26.15,26.46,26.14,26.41,38581278
2-Apr-14,25.96,26.05,25.64,25.89,22464708
1-Apr-14,25.80,26.00,25.64,25.99,23779846
31-Mar-14,25.65,26.06,25.62,25.81,29336281
28-Mar-14,25.41,25.81,25.32,25.62,22884455
27-Mar-14,25.36,25.75,25.29,25.31,27209145
26-Mar-14,25.59,25.74,25.32,25.38,26442817
25-Mar-14,25.19,25.67,25.17,25.46,32317416
24-Mar-14,25.21,25.38,24.92,25.12,36951569
21-Mar-14,25.61,25.68,25.16,25.17,56864569
20-Mar-14,25.00,25.59,24.94,25.42,37009068
19-Mar-14,24.85,25.25,24.77,25.02,34229423
18-Mar-14,24.68,24.90,24.55,24.82,26344019
17-Mar-14,24.64,24.82,24.49,24.70,18525794
14-Mar-14,24.48,24.64,24.40,24.50,21807232
13-Mar-14,24.80,25.00,24.43,24.57,26243253
12-Mar-14,24.65,24.88,24.61,24.76,21259016
11-Mar-14,24.78,24.85,24.61,24.73,26695627
10-Mar-14,24.61,24.89,24.58,24.84,24945279
7-Mar-14,24.70,24.85,24.57,24.64,25380925
6-Mar-14,24.57,24.65,24.38,24.63,22416271
5-Mar-14,24.70,24.71,24.40,24.50,21071351
4-Mar-14,24.72,24.78,24.50,24.61,23714667
3-Mar-14,24.55,24.59,24.30,24.50,25754580
28-Feb-14,24.79,24.84,24.57,24.76,23483725
27-Feb-14,24.80,24.80,24.51,24.76,20866873
26-Feb-14,24.74,24.98,24.61,24.80,19820163
25-Feb-14,24.67,24.71,24.46,24.62,21613463
24-Feb-14,24.51,24.88,24.41,24.63,24173569
21-Feb-14,24.95,24.96,24.35,24.42,30617671
20-Feb-14,24.54,24.85,24.50,24.74,20230664
