Date,Open,High,Low,Close,Volume
11-Jul-14,41.70,42.09,41.48,42.09,24087374
10-Jul-14,41.37,42.00,41.05,41.68,21856832
9-Jul-14,41.98,41.99,41.53,41.67,18445910
8-Jul-14,41.87,42.00,41.61,41.78,31218208
7-Jul-14,41.75,42.12,41.71,41.99,21953619
3-Jul-14,41.91,41.99,41.56,41.80,15969310
2-Jul-14,41.73,41.90,41.53,41.90,20208526
1-Jul-14,41.86,42.15,41.69,41.87,26922597
30-Jun-14,42.17,42.21,41.70,41.70,30805472
27-Jun-14,41.61,42.29,41.51,42.25,74641945
26-Jun-14,41.93,41.94,41.43,41.72,23604409
25-Jun-14,41.70,42.05,41.46,42.03,20051576
24-Jun-14,41.83,41.94,41.56,41.74,26518274
23-Jun-14,41.73,42.00,41.69,41.99,18743905
20-Jun-14,41.44,41.83,41.38,41.68,47765407
19-Jun-14,41.57,41.77,41.33,41.51,19837767
18-Jun-14,41.60,41.74,41.18,41.65,27097228
17-Jun-14,41.29,41.91,40.34,41.68,22518630
16-Jun-14,41.04,41.61,41.04,41.50,24205297
13-Jun-14,41.10,41.56,40.86,41.23,26310697
12-Jun-14,40.81,40.88,40.29,40.58,29823030
11-Jun-14,40.93,41.07,40.76,40.86,18039990
10-Jun-14,41.03,41.16,40.86,41.11,15117689
9-Jun-14,41.39,41.48,41.02,41.27,15019425
6-Jun-14,41.48,41.66,41.24,41.48,24060542
5-Jun-14,40.59,41.25,40.40,41.21,31865213
4-Jun-14,40.21,40.37,39.86,40.32,23210341
3-Jun-14,40.60,40.68,40.25,40.29,18071096
2-Jun-14,40.95,41.09,40.68,40.79,18504300
30-May-14,40.45,40.97,40.25,40.94,34575579
29-May-14,40.15,40.35,39.91,40.34,19893872
28-May-14,40.14,40.19,39.82,40.01,25711565
27-May-14,40.26,40.26,39.81,40.19,26161164
23-May-14,40.37,40.37,40.00,40.12,18020866
22-May-14,40.29,40.35,39.85,40.10,20202485
21-May-14,39.80,40.35,39.74,40.35,22399392
20-May-14,39.68,39.94,39.46,39.68,21322341
19-May-14,39.61,39.82,39.46,39.75,24537438
16-May-14,39.67,39.84,39.27,39.83,29868272
15-May-14,40.09,40.40,39.51,39.60,37793243
14-May-14,40.30,40.45,40.05,40.24,18818711
13-May-14,39.92,40.50,39.85,40.42,27004768
12-May-14,39.74,40.02,39.65,39.97,22787185
9-May-14,39.54,39.85,39.37,39.54,29647646
8-May-14,39.34,39.90,38.97,39.64,32123032
7-May-14,39.22,39.51,38.51,39.42,41749497
6-May-14,39.29,39.35,38.95,39.06,27112373
5-May-14,39.52,39.64,39.30,39.43,22460928
2-May-14,40.31,40.34,39.66,39.69,43417914
1-May-14,40.24,40.36,39.95,40.00,28791455
30-Apr-14,40.40,40.50,40.17,40.40,35464148
29-Apr-14,41.10,41.19,40.39,40.51,29637370
28-Apr-14,40.14,41.29,40.09,40.87,50610208
25-Apr-14,40.29,40.68,39.75,39.91,56883812
24-Apr-14,39.74,39.97,39.30,39.86,42381594
23-Apr-14,39.99,39.99,39.47,39.69,24602781
22-Apr-14,39.96,40.14,39.83,39.99,27057271
21-Apr-14,40.13,40.15,39.79,39.94,22222222
17-Apr-14,40.01,40.20,39.51,40.01,36689399
16-Apr-14,40.06,40.42,39.90,40.40,30616304
15-Apr-14,39.34,39.96,39.05,39.75,33978673
14-Apr-14,39.11,39.41,38.90,39.18,32006651
11-Apr-14,39.00,39.79,39.00,39.21,34333298
10-Apr-14,40.44,40.69,39.09,39.36,45960848
9-Apr-14,39.93,40.55,39.88,40.47,27398687
8-Apr-14,39.75,39.93,39.20,39.82,35919609
7-Apr-14,39.96,40.27,39.74,39.80,37559615
4-Apr-14,41.25,41.39,39.64,39.87,51409573
3-Apr-14,41.29,41.29,40.71,41.01,30139567
2-Apr-14,41.44,41.66,41.17,41.35,28666682
1-Apr-14,41.15,41.59,41.07,41.42,32610395
31-Mar-14,40.43,41.50,40.40,40.99,46886284
28-Mar-14,39.79,40.64,39.68,40.30,43472747
27-Mar-14,39.74,39.97,39.34,39.36,35369170
26-Mar-14,40.48,40.70,39.60,39.79,41982966
25-Mar-14,40.66,40.99,39.96,40.34,43193147
24-Mar-14,40.34,40.64,39.86,40.50,46098374
21-Mar-14,40.72,40.94,40.01,40.16,80731942
20-Mar-14,39.25,40.65,39.24,40.33,59269801
19-Mar-14,39.47,39.55,38.91,39.27,35597241
18-Mar-14,38.26,39.90,38.22,39.55,64063866
17-Mar-14,37.90,38.41,37.79,38.05,20479610
14-Mar-14,37.65,38.14,37.51,37.70,27195638
13-Mar-14,38.42,38.45,37.64,37.89,32169650
