Date,Open,High,Low,Close,Volume
11-Jul-14,128.09,128.09,124.73,125.68,120603
10-Jul-14,126.14,126.51,125.95,126.37,83129
9-Jul-14,128.20,128.99,128.08,128.85,188649
8-Jul-14,129.16,129.16,127.84,128.27,216351
7-Jul-14,130.83,131.38,130.40,131.36,117117
3-Jul-14,132.57,132.98,132.47,132.85,39185
2-Jul-14,131.62,131.92,131.32,131.85,94266
1-Jul-14,131.22,132.43,130.98,132.06,93882
30-Jun-14,131.84,132.54,131.76,132.19,73548
27-Jun-14,130.95,131.24,130.50,130.92,176325
26-Jun-14,132.40,132.51,130.59,131.57,148396
25-Jun-14,133.03,133.60,132.78,133.43,68670
24-Jun-14,134.10,134.15,133.19,133.22,91541
23-Jun-14,134.52,134.79,133.76,134.26,95973
20-Jun-14,136.09,136.27,135.64,136.20,100629
19-Jun-14,135.59,136.00,135.59,135.70,59187
18-Jun-14,134.42,135.24,134.23,135.22,59426
17-Jun-14,133.51,134.50,133.43,134.44,90870
16-Jun-14,134.17,134.87,134.04,134.33,91251
13-Jun-14,133.89,134.25,133.25,133.66,51313
12-Jun-14,133.58,134.20,133.34,133.60,50914
11-Jun-14,133.60,134.01,133.55,133.70,127112
10-Jun-14,135.28,135.28,134.78,135.14,105498
9-Jun-14,135.16,135.50,134.97,135.22,90424
6-Jun-14,134.98,135.42,134.66,135.34,61753
5-Jun-14,133.51,135.02,133.09,135.02,115614
4-Jun-14,132.27,133.28,132.20,132.90,163271
3-Jun-14,133.03,133.56,131.94,132.29,475553
2-Jun-14,133.71,133.84,132.90,133.13,66642
30-May-14,133.11,133.30,132.69,132.92,88186
29-May-14,132.66,133.16,132.54,132.79,120772
28-May-14,132.51,133.15,132.40,132.90,80761
27-May-14,132.91,133.45,132.19,132.63,145011
23-May-14,130.75,131.61,130.50,131.61,140156
22-May-14,129.60,130.28,129.39,129.92,125544
21-May-14,128.61,129.54,128.41,129.21,841421
20-May-14,130.22,130.32,128.95,129.25,611020
19-May-14,131.21,131.91,131.11,131.42,1666412
16-May-14,131.80,132.06,131.50,132.02,668180
15-May-14,133.68,133.76,131.98,132.66,734746
14-May-14,134.54,135.18,134.23,134.24,637083
13-May-14,136.82,136.90,136.09,136.18,410385
12-May-14,134.97,135.67,134.79,135.60,324651
9-May-14,133.67,133.71,132.81,133.44,306836
8-May-14,133.11,134.17,132.93,133.28,327395
7-May-14,133.67,134.14,132.77,133.75,697901
6-May-14,130.18,130.98,129.91,130.68,618449
5-May-14,129.01,131.06,128.75,130.86,364138
2-May-14,129.68,130.72,129.60,129.99,381836
1-May-14,131.91,132.19,131.26,131.93,453894
30-Apr-14,131.40,132.00,131.23,131.83,529934
29-Apr-14,129.94,130.28,128.82,128.95,1703798
28-Apr-14,129.97,130.42,128.42,129.35,1931180
25-Apr-14,133.89,134.28,132.36,132.75,357201
24-Apr-14,133.68,134.87,132.35,134.55,243515
23-Apr-14,135.24,135.28,134.46,134.76,290463
22-Apr-14,135.98,136.73,135.64,136.40,258289
21-Apr-14,135.00,135.65,134.93,135.45,150680
17-Apr-14,135.23,135.41,134.39,134.99,301234
16-Apr-14,133.64,134.11,132.59,134.11,249666
15-Apr-14,132.69,133.09,130.05,131.72,322080
14-Apr-14,133.11,133.18,131.96,133.08,270829
11-Apr-14,133.21,134.50,132.94,133.13,278010
10-Apr-14,136.38,136.44,133.73,133.82,402454
9-Apr-14,135.91,136.80,135.19,136.79,327282
8-Apr-14,133.32,135.50,133.24,135.20,384970
7-Apr-14,135.20,135.30,133.02,133.46,418301
4-Apr-14,136.29,136.75,135.78,135.85,394417
3-Apr-14,136.83,137.06,135.52,136.02,311370
2-Apr-14,135.15,136.13,134.88,136.04,347677
1-Apr-14,135.97,136.11,134.90,135.58,335814
31-Mar-14,135.45,135.80,134.33,135.15,432852
28-Mar-14,135.54,136.05,135.20,135.59,355691
27-Mar-14,133.49,134.55,133.16,133.68,297900
26-Mar-14,135.85,136.01,134.00,134.00,360941
25-Mar-14,133.77,134.83,132.88,134.76,336092
24-Mar-14,133.61,133.82,131.32,132.50,409493
21-Mar-14,133.92,134.85,133.38,133.73,489766
20-Mar-14,130.51,132.91,130.04,132.46,561686
19-Mar-14,131.70,133.03,130.54,131.35,789362
18-Mar-14,130.63,132.25,130.56,132.06,531467
17-Mar-14,129.80,131.29,129.68,130.18,611866
14-Mar-14,124.69,126.42,124.62,125.75,583512
