Date,Open,High,Low,Close,Volume
11-Jul-14,50.05,50.19,49.88,50.00,259899
10-Jul-14,49.56,50.04,49.39,49.88,144295
9-Jul-14,50.12,50.26,49.93,50.05,270993
8-Jul-14,50.79,50.79,50.16,50.24,113679
7-Jul-14,51.61,51.77,51.02,51.08,120401
3-Jul-14,51.52,52.36,51.49,52.31,26707
2-Jul-14,52.40,52.82,52.39,52.71,54170
1-Jul-14,51.99,52.24,51.82,52.04,32124
30-Jun-14,51.34,51.95,51.32,51.85,47911
27-Jun-14,51.46,51.90,51.34,51.90,88611
26-Jun-14,51.86,51.88,51.17,51.54,309312
25-Jun-14,51.69,52.27,51.55,52.27,46734
24-Jun-14,52.25,52.38,52.04,52.07,42001
23-Jun-14,52.43,52.68,52.38,52.58,36003
20-Jun-14,53.12,53.12,52.61,52.89,26020
19-Jun-14,53.01,53.19,52.95,53.00,26454
18-Jun-14,52.55,52.84,52.38,52.75,32645
17-Jun-14,52.23,52.50,52.15,52.50,79210
16-Jun-14,52.16,52.27,52.03,52.17,35644
13-Jun-14,52.47,52.47,52.10,52.33,21742
12-Jun-14,52.61,52.86,52.53,52.59,29166
11-Jun-14,52.36,52.42,52.20,52.23,23440
10-Jun-14,52.46,52.52,52.05,52.09,117631
9-Jun-14,52.87,53.05,52.65,52.74,59682
6-Jun-14,53.19,53.28,52.88,53.12,41570
5-Jun-14,52.07,53.00,52.07,53.00,21030
4-Jun-14,51.59,51.85,51.50,51.83,33663
3-Jun-14,52.88,53.16,52.19,52.60,146404
2-Jun-14,52.93,53.15,52.64,53.10,52959
30-May-14,52.73,52.80,52.52,52.52,16552
29-May-14,52.68,52.85,52.64,52.68,28416
28-May-14,52.52,52.65,52.20,52.47,53859
27-May-14,52.89,53.00,52.56,52.68,23632
23-May-14,52.05,52.32,51.93,52.20,20266
22-May-14,51.57,51.76,51.48,51.67,30076
21-May-14,51.56,51.90,51.50,51.79,28241
20-May-14,51.31,51.68,51.17,51.37,41164
19-May-14,51.14,51.60,51.12,51.44,19102
16-May-14,50.90,51.20,50.74,51.20,19647
15-May-14,50.64,50.85,50.21,50.75,21126
14-May-14,50.05,50.99,50.05,50.80,45775
13-May-14,50.45,50.76,50.02,50.14,20492
12-May-14,51.89,51.99,50.80,50.91,21417
9-May-14,51.88,51.89,50.53,50.90,50562
8-May-14,52.21,52.49,51.94,52.00,46502
7-May-14,51.83,52.13,51.52,51.64,38022
6-May-14,51.76,52.07,51.52,51.95,47293
5-May-14,51.57,52.59,51.14,52.53,168461
2-May-14,52.25,52.46,52.12,52.24,19342
1-May-14,53.37,53.37,53.18,53.19,6897
30-Apr-14,53.27,53.46,52.98,53.46,47983
29-Apr-14,52.75,53.00,52.23,52.34,74891
28-Apr-14,52.67,53.32,52.50,53.32,39311
25-Apr-14,52.41,52.58,52.17,52.48,53468
24-Apr-14,52.82,53.29,52.28,53.19,13132
23-Apr-14,53.30,53.44,53.04,53.40,50133
22-Apr-14,53.83,53.85,53.55,53.66,27642
21-Apr-14,53.01,53.15,52.97,53.08,15022
17-Apr-14,53.00,53.20,52.85,53.01,82799
16-Apr-14,52.28,52.75,52.01,52.75,79258
15-Apr-14,51.81,51.90,50.76,51.27,31485
14-Apr-14,52.28,52.33,51.76,52.06,34825
11-Apr-14,52.40,53.10,52.40,52.43,52774
10-Apr-14,53.50,53.75,52.75,52.76,74869
9-Apr-14,52.77,53.79,52.67,53.78,178727
8-Apr-14,50.79,51.26,50.70,50.87,34375
7-Apr-14,50.90,51.10,50.65,50.80,72376
4-Apr-14,51.05,51.29,50.90,50.93,42559
3-Apr-14,51.11,51.33,50.61,50.65,21805
2-Apr-14,51.35,51.38,51.00,51.16,134964
1-Apr-14,51.25,51.37,51.07,51.17,210887
31-Mar-14,50.61,50.80,50.51,50.78,344497
28-Mar-14,50.25,50.65,50.25,50.37,30080
27-Mar-14,49.42,49.49,49.07,49.12,34899
26-Mar-14,49.30,49.51,48.92,49.03,61774
25-Mar-14,48.34,48.80,48.10,48.79,107628
24-Mar-14,48.25,48.25,47.35,47.96,58409
21-Mar-14,48.39,48.57,47.74,47.82,30248
20-Mar-14,48.45,48.88,48.11,48.71,49168
19-Mar-14,49.55,49.55,48.56,48.89,34922
18-Mar-14,49.02,49.44,48.82,49.00,48745
17-Mar-14,48.47,48.92,48.47,48.91,26703
14-Mar-14,47.80,48.74,47.68,48.25,37847
13-Mar-14,50.56,50.70,48.15,48.35,89957
12-Mar-14,48.49,49.24,48.25,49.07,54603
11-Mar-14,49.13,49.51,49.03,49.15,45534
10-Mar-14,49.31,49.31,48.44,48.70,55458
7-Mar-14,50.60,50.62,49.73,49.91,101739
6-Mar-14,50.58,50.72,50.33,50.33,20799
5-Mar-14,50.18,50.40,50.10,50.10,33427
4-Mar-14,50.92,50.94,50.11,50.40,71632
3-Mar-14,49.59,49.79,49.18,49.61,97509
28-Feb-14,50.74,51.20,50.72,50.96,29627
27-Feb-14,50.26,50.74,50.19,50.62,30598
26-Feb-14,51.05,51.15,50.56,50.82,33666
25-Feb-14,51.29,51.44,50.86,51.27,49918
24-Feb-14,50.45,51.35,50.00,51.10,132303
21-Feb-14,53.04,53.55,51.41,51.42,109831
20-Feb-14,52.59,53.04,52.57,53.00,39315
19-Feb-14,53.58,53.86,53.20,53.20,32716
18-Feb-14,53.59,53.91,53.46,53.58,23463
14-Feb-14,53.30,53.74,53.25,53.59,45203
13-Feb-14,52.12,53.03,51.99,53.03,37182
12-Feb-14,51.97,52.24,51.87,52.10,32829
11-Feb-14,50.83,51.50,50.73,51.46,37723
10-Feb-14,50.04,50.30,49.87,50.28,68693
7-Feb-14,49.59,50.00,49.40,50.00,41781
6-Feb-14,48.84,49.60,48.70,49.46,49598
5-Feb-14,48.27,48.51,48.07,48.38,38222
4-Feb-14,47.76,47.96,47.35,47.60,59722
3-Feb-14,48.66,48.75,47.74,47.74,220260
31-Jan-14,48.09,48.88,48.03,48.43,71709
30-Jan-14,49.68,49.77,49.18,49.54,90217
29-Jan-14,49.80,50.44,49.58,50.00,36715
28-Jan-14,51.00,51.58,50.95,51.57,54329
27-Jan-14,50.80,50.96,49.95,50.20,62830
24-Jan-14,51.48,51.48,50.05,50.08,123217
23-Jan-14,53.17,53.17,52.42,52.50,78031
22-Jan-14,53.24,53.42,53.07,53.26,28048
21-Jan-14,53.66,53.66,53.27,53.61,57788
17-Jan-14,53.64,53.68,53.11,53.39,46886
16-Jan-14,53.64,53.82,53.38,53.60,38676
15-Jan-14,53.12,53.62,53.12,53.36,49779
14-Jan-14,52.27,52.62,52.02,52.61,63080
13-Jan-14,53.73,53.93,52.52,52.66,164559
10-Jan-14,53.35,53.71,53.26,53.67,38057
9-Jan-14,52.80,53.10,52.45,52.70,29941
